"Course BIATHLON (@ STS CIEL Lycée BENOIT 2025 by PhA)"
Date;"2025-05-20 07:25:02"
"Nom de la course";"Course 1"
"Nombre de coureurs";2

Position;Coureur;Arbitre;2T1;ST1;"Tirs 1";TP1;2T2;ST2;"Tirs 2";TP2;2T3;ST3;"Tirs 3";TP3;"Temps total"
1;George;Issa;00:50:19;01:07:24;0/0;01:31:35;01:36:46;01:38:71;0/0;01:46:94;01:51:30;01:53:32;0/0;01:55:52;01:55:52
2;cour2;JUGE2;00:56:88;01:09:69;0/0;01:33:64;01:35:33;01:38:05;0/0;01:44:42;02:03:99;02:05:20;0/0;02:15:56;02:15:56
